"trace_id","platform_time","Side","Role","Platform rate/-s","Platform asset","Exchange rate/-s","Exchange asset","fee_difference"
"9208732589581558360","2024-03-23 19:39:34.213361","Bid","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9208732039825744243","2024-03-23 19:39:32.62862","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9207907955860593646","2024-03-23 18:49:38.410239","Ask","Maker","-0.000003000000000000","base","-0.000003","quote","0.000000000000000000"
"9207818620542853084","2024-03-23 18:44:09.848542","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9207736706925367048","2024-03-23 18:39:11.67715","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9207378266135583455","2024-03-23 18:17:27.621563","Bid","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9207376341991504291","2024-03-23 18:17:20.148681","Bid","Maker","-0.008180920132000000","quote","-0.008180920132","quote","0.000000000000000000"
"9207376341988418632","2024-03-23 18:17:20.148606","Bid","Maker","-0.000393029868000000","quote","-0.000393029868","quote","0.000000000000000000"
"9207313394947644520","2024-03-23 18:13:31.84543","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9206931864414492773","2024-03-23 17:50:25.112151","Bid","Maker","-0.004752000000000000","quote","-0.004752","quote","0.000000000000000000"
"9206856822744316424","2024-03-23 17:45:51.745839","Bid","Maker","-0.001266340200000000","quote","-0.0012663402","quote","0.000000000000000000"
"9206853799088706979","2024-03-23 17:45:48.428726","Bid","Maker","-0.007412000000000000","quote","-0.007412","base","0.000000000000000000"
"9206671829912551872","2024-03-23 17:34:37.122258","Ask","Taker","0.017436870000000000","quote","0.01743687","quote","0.000000000000000000"
"9206333455212385775","2024-03-23 17:14:07.081058","Ask","Maker","-0.050000000000000000","base","-0.05","base","0.000000000000000000"
"9206328507407226981","2024-03-23 17:13:48.892793","Ask","Maker","-0.050000000000000000","base","-0.05","base","0.000000000000000000"
"9206306242296273825","2024-03-23 17:12:27.793899","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9206304867906765598","2024-03-23 17:12:25.096549","Bid","Maker","-0.004736250000000000","quote","-0.00473625","quote","0.000000000000000000"
"9206167154075024822","2024-03-23 17:04:13.246835","Bid","Maker","-0.004691100000000000","quote","-0.0046911","base","0.000000000000000000"
"9206152585548740546","2024-03-23 17:03:08.424212","Bid","Maker","-0.004729500000000000","quote","-0.0047295","quote","0.000000000000000000"
"9206134993362176289","2024-03-23 17:02:04.346567","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9206129770681211263","2024-03-23 17:01:45.405","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9205891451535373406","2024-03-23 16:47:18.850051","Ask","Maker","-0.000003000000000000","base","-0.000003","base","0.000000000000000000"
"9205858741063904652","2024-03-23 16:45:19.513873","Bid","Maker","-0.004759500000000000","quote","-0.0047595","quote","0.000000000000000000"
"9205780675738025754","2024-03-23 16:40:35.239057","Bid","Maker","-0.001606164705000000","quote","-0.001606164705","quote","0.000000000000000000"
"9205779576226476102","2024-03-23 16:40:31.517009","Ask","Maker","-0.050000000000000000","base","-0.05","quote","0.000000000000000000"
"9205779576226421912","2024-03-23 16:40:31.878377","Bid","Maker","-0.008454550000000000","quote","-0.00845455","base","0.000000000000000000"
"9205778201838282494","2024-03-23 16:40:26.532875","Bid","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9205722951378201245","2024-03-23 16:37:05.895991","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9205226246999861142","2024-03-23 16:06:58.587246","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9205225972124083661","2024-03-23 16:06:58.127581","Bid","Maker","-0.007820100000000000","quote","-0.0078201","quote","0.000000000000000000"
"9205207555303830397","2024-03-23 16:05:50.214737","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
